cycle_id,timestamp,hour_of_day,is_weekend,minutes_since_empty,fill_level_percent,pickup_event
1,2025-01-01 00:00:00,0,0,0,0.0,0
1,2025-01-01 00:15:00,0,0,15,1.61,0
1,2025-01-01 00:30:00,0,0,30,0.39,0
1,2025-01-01 00:45:00,0,0,45,2.36,0
1,2025-01-01 01:00:00,1,0,60,3.55,0
1,2025-01-01 01:15:00,1,0,75,3.84,0
1,2025-01-01 01:30:00,1,0,90,2.11,0
1,2025-01-01 01:45:00,1,0,105,5.65,0
1,2025-01-01 02:00:00,2,0,120,4.55,0
1,2025-01-01 02:15:00,2,0,135,5.33,0
1,2025-01-01 02:30:00,2,0,150,3.4,0
1,2025-01-01 02:45:00,2,0,165,6.36,0
1,2025-01-01 03:00:00,3,0,180,6.8,0
1,2025-01-01 03:15:00,3,0,195,5.62,0
1,2025-01-01 03:30:00,3,0,210,6.03,0
1,2025-01-01 03:45:00,3,0,225,7.92,0
1,2025-01-01 04:00:00,4,0,240,7.08,0
1,2025-01-01 04:15:00,4,0,255,8.94,0
1,2025-01-01 04:30:00,4,0,270,7.3,0
1,2025-01-01 04:45:00,4,0,285,8.31,0
1,2025-01-01 05:00:00,5,0,300,9.25,0
1,2025-01-01 05:15:00,5,0,315,9.72,0
1,2025-01-01 05:30:00,5,0,330,9.46,0
1,2025-01-01 05:45:00,5,0,345,10.73,0
1,2025-01-01 06:00:00,6,0,360,12.28,0
1,2025-01-01 06:15:00,6,0,375,10.93,0
1,2025-01-01 06:30:00,6,0,390,13.98,0
1,2025-01-01 06:45:00,6,0,405,11.42,0
1,2025-01-01 07:00:00,7,0,420,13.6,0
1,2025-01-01 07:15:00,7,0,435,14.45,0
1,2025-01-01 07:30:00,7,0,450,16.11,0
1,2025-01-01 07:45:00,7,0,465,14.88,0
1,2025-01-01 08:00:00,8,0,480,16.81,0
1,2025-01-01 08:15:00,8,0,495,16.29,0
1,2025-01-01 08:30:00,8,0,510,15.29,0
1,2025-01-01 08:45:00,8,0,525,16.16,0
1,2025-01-01 09:00:00,9,0,540,17.27,0
1,2025-01-01 09:15:00,9,0,555,19.61,0
1,2025-01-01 09:30:00,9,0,570,17.13,0
1,2025-01-01 09:45:00,9,0,585,17.66,0
1,2025-01-01 10:00:00,10,0,600,19.75,0
1,2025-01-01 10:15:00,10,0,615,18.44,0
1,2025-01-01 10:30:00,10,0,630,20.72,0
1,2025-01-01 10:45:00,10,0,645,20.56,0
1,2025-01-01 11:00:00,11,0,660,21.41,0
1,2025-01-01 11:15:00,11,0,675,20.6,0
1,2025-01-01 11:30:00,11,0,690,23.24,0
1,2025-01-01 11:45:00,11,0,705,22.58,0
1,2025-01-01 12:00:00,12,0,720,24.17,0
1,2025-01-01 12:15:00,12,0,735,30.02,0
1,2025-01-01 12:30:00,12,0,750,33.64,0
1,2025-01-01 12:45:00,12,0,765,35.66,0
1,2025-01-01 13:00:00,13,0,780,37.46,0
1,2025-01-01 13:15:00,13,0,795,40.92,0
1,2025-01-01 13:30:00,13,0,810,42.76,0
1,2025-01-01 13:45:00,13,0,825,44.38,0
1,2025-01-01 14:00:00,14,0,840,48.5,0
1,2025-01-01 14:15:00,14,0,855,50.98,0
1,2025-01-01 14:30:00,14,0,870,55.03,0
1,2025-01-01 14:45:00,14,0,885,57.25,0
1,2025-01-01 15:00:00,15,0,900,59.16,0
1,2025-01-01 15:15:00,15,0,915,59.74,0
1,2025-01-01 15:30:00,15,0,930,62.81,0
1,2025-01-01 15:45:00,15,0,945,67.84,0
1,2025-01-01 16:00:00,16,0,960,67.02,0
1,2025-01-01 16:15:00,16,0,975,68.72,0
1,2025-01-01 16:30:00,16,0,990,66.62,0
1,2025-01-01 16:45:00,16,0,1005,69.23,0
1,2025-01-01 17:00:00,17,0,1020,68.18,0
1,2025-01-01 17:15:00,17,0,1035,67.92,0
1,2025-01-01 17:30:00,17,0,1050,69.54,0
1,2025-01-01 17:45:00,17,0,1065,71.19,0
1,2025-01-01 18:00:00,18,0,1080,71.17,0
1,2025-01-01 18:15:00,18,0,1095,70.58,0
1,2025-01-01 18:30:00,18,0,1110,72.39,0
1,2025-01-01 18:45:00,18,0,1125,72.48,0
1,2025-01-01 19:00:00,19,0,1140,71.69,0
1,2025-01-01 19:15:00,19,0,1155,72.6,0
